Dataset;Algoritm;window;model;resample;F1-Score(micro);F1-Score(macro);F1-Score(weighted);F1-Score(None);Accuracy;Sensitivity;Specificity;ROC AUC score;Confusion matrix
commons-io;LogistRegression;0;model6;ROS;0,6690460113822707;0,5455665309888826;0,7325908735166177;[0,7824488  0,30868426];0,6690460113822707;0,7021081576535289;0,6651573954290643;0,6836327765412966;"[6170; 3106; 325; 766]"
commons-io;MLP;0;model6;ROS;0,812964213369345;0,692177697589101;0,8444163227294302;[0,88500089 0,49935451];0,812964213369345;0,8863428047662695;0,8043337645536869;0,8453382846599783;"[7461; 1815; 124; 967]"
commons-io;DT;0;model7;ROS;0,9031542394135237;0,766821604145048;0,9075914565069092;[0,94511862 0,58852459];0,9031542394135237;0,6581118240146654;0,9319749892194912;0,7950434066170782;"[8645; 631; 373; 718]"
commons-io;RandomForest;0;model7;ROS;0,9618983312433684;0,9018818126980875;0,962468295714013;[0,97861976 0,82514387];0,9618983312433684;0,854262144821265;0,9745579991375592;0,9144100719794122;"[9040; 236; 159; 932]"
commons-io;LogistRegression;0;model7;ROS;0,5716214912703772;0,4767681502305007;0,6526572749272359;[0,69954672 0,25398959];0,5716214912703772;0,692942254812099;0,5573523070288917;0,6251472809204953;"[5170; 4106; 335; 756]"
commons-io;MLP;0;model7;ROS;0,7539307417767918;0,6005520299670217;0,7959761825453169;[0,84807337 0,35303069];0,7539307417767918;0,6379468377635197;0,7675722294092281;0,702759533586374;"[7120; 2156; 395; 696]"
commons-io;RandomForest;0;model6;SMOTE;0,9442461657181441;0,8656644109284097;0,9467832989286591;[0,9684084  0,76292043];0,9442461657181441;0,8524289642529789;0,955045278137128;0,9037371211950534;"[8859; 417; 161; 930]"
commons-io;DT;0;model6;SMOTE;0,9194559660461078;0,8213750422628736;0,9258780832893994;[0,95373705 0,68901304];0,9194559660461078;0,847846012832264;0,9278783958602846;0,8878622043462744;"[8607; 669; 166; 925]"
commons-io;LogistRegression;0;model6;SMOTE;0,6688530915404649;0,5450502551988109;0,7324256648616138;[0,78237718 0,30772333];0,6688530915404649;0,6993583868011;0,6652652005174644;0,6823117936592822;"[6171; 3105; 328; 763]"
commons-io;MLP;0;model6;SMOTE;0,8285907205556091;0,7048853925697665;0,8557388057944568;[0,8959541  0,51381669];0,8285907205556091;0,8606782768102658;0,8248167313497197;0,8427475040799928;"[7651; 1625; 152; 939]"
commons-io;RandomForest;0;model7;SMOTE;0,960065592746214;0,8990012652792208;0,9610049273952534;[0,97753419 0,82046834];0,960065592746214;0,8670944087992667;0,9710004312203536;0,9190474200098102;"[9007; 269; 145; 946]"
commons-io;DT;0;model7;SMOTE;0,8934117874023343;0,7690091499762315;0,9028466351671688;[0,93852573 0,59949257];0,8934117874023343;0,7580201649862511;0,909335920655455;0,833678042820853;"[8435; 841; 264; 827]"
commons-io;LogistRegression;0;model7;SMOTE;0,5732613099257259;0,47787883115260343;0,654070568629021;[0,70104068 0,25471698];0,5732613099257259;0,692942254812099;0,5591849935316947;0,6260636241718969;"[5187; 4089; 335; 756]"
commons-io;MLP;0;model7;SMOTE;0,7597183370309636;0,6061103706501507;0,8003150671016419;[0,85208717 0,36013357];0,7597183370309636;0,6425297891842346;0,7735015092712376;0,7080156492277361;"[7175; 2101; 390; 701]"
commons-io;RandomForest;0;model6;ADA;0,944342625639047;0,8667015859295204;0,9470215947796816;[0,96843372 0,76496945];0,944342625639047;0,8606782768102658;0,9541828374299267;0,9074305571200962;"[8851; 425; 152; 939]"
commons-io;DT;0;model6;ADA;0,8648596508150863;0,7402794617366253;0,882297407085818;[0,92015729 0,56040163];0,8648596508150863;0,8185151237396884;0,8703104786545925;0,8444128011971406;"[8073; 1203; 198; 893]"
commons-io;LogistRegression;0;model6;ADA;0,6631619562071959;0,5324808459737129;0,7276322576250644;[0,77965674 0,28530495];0,6631619562071959;0,6388634280476627;0,6660198361362656;0,6524416320919643;"[6178; 3098; 394; 697]"
commons-io;MLP;0;model6;ADA;0,8097810359795505;0,6771295743068741;0,8405234364273942;[0,88408182 0,47017732];0,8097810359795505;0,8020164986251146;0,8106942647692971;0,8063553816972059;"[7520; 1756; 216; 875]"
commons-io;RandomForest;0;model7;ADA;0,9608372721134368;0,9043443420239264;0,9623830809197019;[0,97785535 0,83083333];0,9608372721134368;0,9138405132905592;0,9663648124191462;0,9401026628548527;"[8964; 312; 94; 997]"
commons-io;DT;0;model7;ADA;0,9313205363171603;0,8424055005709123;0,9358650572144259;[0,96077999 0,72403101];0,9313205363171603;0,8560953253895509;0,9401681759379042;0,8981317506637275;"[8721; 555; 157; 934]"
commons-io;LogistRegression;0;model7;ADA;0,5744188289765603;0,4617564602116485;0,6561780263809092;[0,70800794 0,21550498];0,5744188289765603;0,5554537121906508;0,5766494178525227;0,5660515650215867;"[5349; 3927; 485; 606]"
commons-io;MLP;0;model7;ADA;0,7187228706472459;0,5521081761498294;0,7677876438805517;[0,8252846  0,27893175];0,718722870647246;0,5169569202566453;0,742453643811988;0,6297052820343166;"[6887; 2389; 527; 564]"
junit4;RandomForest;0;model6;NONE;0,9303295786399666;0,570482192080672;0,9268852782216689;[0,96362448 0,1773399 ];0,9303295786399666;0,16071428571428573;0,9680525164113786;0,5643834010628322;"[2212; 73; 94; 18]"
junit4;DT;0;model6;NONE;0,9002920317062996;0,584116691796569;0,9128482772625233;[0,94673501 0,22149837];0,9002920317062996;0,30357142857142855;0,9295404814004377;0,6165559549859332;"[2124; 161; 78; 34]"
junit4;LogistRegression;0;model6;NONE;0,7142261159783062;0,5004707961855621;0,7967018611789505;[0,82723834 0,17370326];0,7142261159783062;0,6428571428571429;0,7177242888402626;0,6802907158487027;"[1640; 645; 40; 72]"
junit4;MLP;0;model6;NONE;0,9536921151439299;0,5294455753378384;0,9344929088170284;[0,97624652 0,08264463];0,9536921151439299;0,044642857142857144;0,9982494529540481;0,5214461550484527;"[2281; 4; 107; 5]"
junit4;RandomForest;0;model7;NONE;0,9591155611180643;0,6538413929691368;0,9485374246828726;[0,97891566 0,32876712];0,9591155611180643;0,21428571428571427;0,9956236323851203;0,6049546733354173;"[2275; 10; 88; 24]"
junit4;DT;0;model7;NONE;0,9407592824363789;0,6674996092528915;0,9407592824363789;[0,96892779 0,36607143];0,9407592824363789;0,36607142857142855;0,9689277899343545;0,6674996092528914;"[2214; 71; 71; 41]"
junit4;LogistRegression;0;model7;NONE;0,6962870254484773;0,49602251329102076;0,7840270036405593;[0,81371546 0,17832957];0,6962870254484773;0,7053571428571429;0,6958424507658644;0,7005997968115035;"[1590; 695; 33; 79]"
junit4;MLP;0;model7;NONE;0,952857738840217;0,6185448538389715;0,9422801029957032;[0,9756518  0,26143791];0,952857738840217;0,17857142857142858;0,9908096280087527;0,5846905282900906;"[2264; 21; 92; 20]"
junit4;DT;0;model6;ROS;0,8886107634543179;0,5463847159761426;0,9035687703325667;[0,94038848 0,15238095];0,8886107634543179;0,21428571428571427;0,9216630196936543;0,5679743669896843;"[2106; 179; 88; 24]"
junit4;RandomForest;0;model6;ROS;0,8919482686691698;0,5573621816786959;0,9062372138429471;[0,9422004  0,17252396];0,8919482686691698;0,24107142857142858;0,9238512035010941;0,5824613160362613;"[2111; 174; 85; 27]"
junit4;LogistRegression;0;model6;ROS;0,6958698372966208;0,49042015091313385;0,7837461486209638;[0,81398316 0,16685714];0,6958698372966208;0,6517857142857143;0,6980306345733042;0,6749081744295092;"[1595; 690; 39; 73]"
junit4;MLP;0;model6;ROS;0,7350855235711306;0,5123380074836386;0,8111221756676635;[0,84192183 0,18275418];0,7350855235711306;0,6339285714285714;0,7400437636761488;0,6869861675523601;"[1691; 594; 41; 71]"
junit4;DT;0;model7;ROS;0,9432624113475178;0,6919908086290043;0,9441908976393183;[0,97018851 0,4137931 ];0,9432624113475178;0,42857142857142855;0,9684901531728666;0,6985307908721474;"[2213; 72; 64; 48]"
junit4;RandomForest;0;model7;ROS;0,9557780559032123;0,7095409026475834;0,9519846425771176;[0,97697654 0,44210526];0,9557780559032123;0,375;0,9842450765864332;0,6796225382932166;"[2249; 36; 70; 42]"
junit4;LogistRegression;0;model7;ROS;0,6962870254484773;0,49690012593238403;0,7840225465079113;[0,81362007 0,18018018];0,6962870254484773;0,7142857142857143;0,6954048140043764;0,7048452641450454;"[1589; 696; 32; 80]"
junit4;MLP;0;model7;ROS;0,8126825198164372;0,5777189234363873;0,8632759116544233;[0,89271207 0,26272578];0,8126825198164372;0,7142857142857143;0,8175054704595186;0,7658955923726165;"[1868; 417; 32; 80]"
junit4;RandomForest;0;model6;SMOTE;0,9249061326658323;0,5785206314473273;0,9249061326658323;[0,96061269 0,19642857];0,9249061326658323;0,19642857142857142;0,9606126914660832;0,5785206314473272;"[2195; 90; 90; 22]"
junit4;DT;0;model6;SMOTE;0,8498122653316645;0,5458526131421282;0,8826727682710742;[0,9173933  0,17431193];0,8498122653316645;0,3392857142857143;0,874835886214442;0,6070608002500782;"[1999; 286; 74; 38]"
