Dataset;Algoritm;window;model;resample;F1-Score(micro);F1-Score(macro);F1-Score(weighted);F1-Score(None);Accuracy;Sensitivity;Specificity;ROC AUC score;Confusion matrix
pdfbox;DT;2;model6;NONE;0,8882112309408702;0,7197569587357473;0,8868699315746934;[0,9370313  0,50248262];0,8882112309408702;0,4890463917525773;0,9403010174051963;0,7146737045788869;"[11183; 710; 793; 759]"
pdfbox;LogistRegression;2;model6;NONE;0,6852361472666418;0,5632776869526507;0,7407826043498335;[0,79406326 0,33249211];0,6852361472666418;0,6791237113402062;0,6860338013957791;0,6825787563679926;"[8159; 3734; 498; 1054]"
pdfbox;MLP;2;model6;NONE;0,9181851989587207;0,7281738857840319;0,902972123444334;[0,95544033 0,50090744];0,9181851989587207;0,3556701030927835;0,9915916925922812;0,6736308978425324;"[11793; 100; 1000; 552]"
pdfbox;RandomForest;2;model7;NONE;0,9013015991074749;0,7659756245221452;0,9028502238166382;[0,9439351  0,58801614];0,9013015991074749;0,6101804123711341;0,93929202051627;0,774736216443702;"[11171; 722; 605; 947]"
pdfbox;DT;2;model7;NONE;0,8740052063964299;0,7095450760432378;0,8776465100634374;[0,92810458 0,49098558];0,8740052063964299;0,5264175257731959;0,9193643319599765;0,7228909288665862;"[10934; 959; 735; 817]"
pdfbox;LogistRegression;2;model7;NONE;0,777835626626999;0,6165343378246604;0,8078206483183511;[0,86523799 0,36783069];0,7778356266269989;0,5599226804123711;0,8062725973261582;0,6830976388692647;"[9589; 2304; 683; 869]"
pdfbox;MLP;2;model7;NONE;0,9268873187058386;0,7872858074715685;0,9198252150802341;[0,95960883 0,61496279];0,9268873187058386;0,5057989690721649;0,9818380559993274;0,7438185125357462;"[11677; 216; 767; 785]"
pdfbox;DT;2;model6;ROS;0,8786909631833394;0,7000437675648353;0,878088356027726;[0,931531   0,46855653];0,8786909631833395;0,4632731958762887;0,9329017068864037;0,6980874513813462;"[11095; 798; 833; 719]"
pdfbox;RandomForest;2;model6;ROS;0,9000371885459278;0,7380376973537257;0,8964824848708506;[0,94404197 0,53203343];0,9000371885459278;0,49226804123711343;0,9532498108130834;0,7227589260250984;"[11337; 556; 788; 764]"
pdfbox;LogistRegression;2;model6;ROS;0,6897731498698401;0,5675382677165014;0,7443752733611116;[0,79745545 0,33762109];0,6897731498698401;0,6849226804123711;0,6904061212477928;0,6876644008300818;"[8211; 3682; 489; 1063]"
pdfbox;MLP;2;model6;ROS;0,8243213090368167;0,6909169411490083;0,8470965594358674;[0,89397612 0,48785776];0,8243213090368167;0,7248711340206185;0,8372992516606407;0,7810851928406296;"[9958; 1935; 427; 1125]"
pdfbox;DT;2;model7;ROS;0,8744514689475642;0,7052310795404717;0,8770096254184281;[0,92857143 0,48189073];0,8744514689475642;0,5057989690721649;0,9225594887749096;0,7141792289235372;"[10972; 921; 767; 785]"
pdfbox;RandomForest;2;model7;ROS;0,898252138341391;0,7803215409381938;0,9041181410545741;[0,94127747 0,61936561];0,8982521383413908;0,717139175257732;0,9218868241822921;0,819512999720012;"[10964; 929; 439; 1113]"
pdfbox;LogistRegression;2;model7;ROS;0,7981405727036073;0,6301702960313584;0,8218688537035498;[0,87940994 0,38093066];0,7981405727036073;0,5380154639175257;0,8320861010678551;0,6850507824926904;"[9896; 1997; 717; 835]"
pdfbox;MLP;2;model7;ROS;0,8714763852733358;0,7609127814746676;0,8859634461232543;[0,9234992  0,59832636];0,8714763852733358;0,8292525773195877;0,8769864626250736;0,8531195199723306;"[10430; 1463; 265; 1287]"
pdfbox;RandomForest;2;model6;SMOTE;0,900260319821495;0,7562772967712206;0,9003578504157811;[0,9436057  0,56894889];0,900260319821495;0,5702319587628866;0,9433280080719751;0,7567799834174309;"[11219; 674; 667; 885]"
pdfbox;DT;2;model6;SMOTE;0,8514689475641503;0,6854324135727075;0,8612088056699136;[0,91397062 0,45689421];0,8514689475641503;0,5412371134020618;0,891953249810813;0,7165951816064374;"[10608; 1285; 712; 840]"
pdfbox;LogistRegression;2;model6;SMOTE;0,685979918185199;0,5650677722922574;0,7414470219295699;[0,79438979 0,33574575];0,685979918185199;0,6875;0,6857815521735474;0,6866407760867738;"[8156; 3737; 485; 1067]"
pdfbox;MLP;2;model6;SMOTE;0,8488657493492004;0,7029604622538258;0,8630800180060565;[0,91114221 0,49477872];0,8488657493492004;0,6411082474226805;0,8759774657361473;0,7585428565794139;"[10418; 1475; 557; 995]"
pdfbox;RandomForest;2;model7;SMOTE;0,8917813313499442;0,7833370164703174;0,9012325862947729;[0,93662064 0,63005339];0,8917813313499442;0,7983247422680413;0,903977129403851;0,8511509358359461;"[10751; 1142; 313; 1239]"
pdfbox;DT;2;model7;SMOTE;0,8743027147638527;0,7388496325191878;0,8835073133507567;[0,9269284  0,55077087];0,8743027147638527;0,6675257731958762;0,901286471033381;0,7844061221146286;"[10719; 1174; 516; 1036]"
pdfbox;LogistRegression;2;model7;SMOTE;0,7924135366307178;0,6286817201871532;0,818326737418661;[0,87525142 0,38211202];0,7924135366307178;0,5560567010309279;0,8232573782897503;0,6896570396603391;"[9791; 2102; 689; 863]"
pdfbox;MLP;2;model7;SMOTE;0,8585347712904425;0,7458311457175169;0,8760074209380714;[0,9150817  0,57658059];0,8585347712904425;0,8344072164948454;0,8616833431430253;0,8480452798189353;"[10248; 1645; 257; 1295]"
pdfbox;RandomForest;2;model6;ADA;0,8891781331349944;0,7410394415349102;0,8916837733115323;[0,93690184 0,54517705];0,8891781331349944;0,5753865979381443;0,9301269654418566;0,7527567816900004;"[11062; 831; 659; 893]"
pdfbox;DT;2;model6;ADA;0,850502045370026;0,6910493747558069;0,8617606354268535;[0,91300208 0,46909667];0,850502045370026;0,5721649484536082;0,8868241822921046;0,7294945653728564;"[10547; 1346; 664; 888]"
pdfbox;LogistRegression;2;model6;ADA;0,6660468575678691;0,5534644114803696;0,7259151706258048;[0,77767875 0,32925007];0,6660468575678691;0,7100515463917526;0,6603043807281594;0,6851779635599561;"[7853; 4040; 450; 1102]"
pdfbox;MLP;2;model6;ADA;0,8240238006693938;0,6828085668739712;0,8455893864791952;[0,89445039 0,47116674];0,8240238006693938;0,6791237113402062;0,8429328176238123;0,7610282644820093;"[10025; 1868; 498; 1054]"
pdfbox;RandomForest;2;model7;ADA;0,8792116028263295;0,7683554696875721;0,8916070848674335;[0,92860283 0,60810811];0,8792116028263295;0,8118556701030928;0,8880013453291853;0,8499285077161391;"[10561; 1332; 292; 1260]"
pdfbox;DT;2;model7;ADA;0,8644105615470435;0,7348686207646331;0,8774088643942252;[0,92019437 0,54954287];0,8644105615470435;0,7164948453608248;0,8837131085512486;0,8001039769560367;"[10510; 1383; 440; 1112]"
pdfbox;LogistRegression;2;model7;ADA;0,7974711788769059;0,633570048735206;0,822059993885931;[0,87863796 0,38850213];0,7974711788769059;0,5573453608247423;0,8288068611788447;0,6930761110017934;"[9857; 2036; 687; 865]"
pdfbox;MLP;2;model7;ADA;0,7965786537746374;0,6875584706169572;0,8295098322429421;[0,87211858 0,50299836];0,7965786537746374;0,8917525773195877;0,7841587488438577;0,8379556630817226;"[9326; 2567; 168; 1384]"
pdfbox;RandomForest;3;model6;NONE;0,8849706129303107;0,6497848273789721;0,8715420653760102;[0,93677896 0,3627907 ];0,8849706129303107;0,28811282740094024;0,9615053393041681;0,6248090833525541;"[11165; 447; 1060; 429]"
pdfbox;DT;3;model6;NONE;0,8610029768719945;0,666785080777405;0,8633525435014131;[0,92117907 0,41239109];0,8610029768719945;0,42914707857622564;0,9163796073027902;0,672763342939508;"[10641; 971; 850; 639]"
pdfbox;LogistRegression;3;model6;NONE;0,7101747958171132;0,5751355029954979;0,7602157576980719;[0,81466296 0,33560805];0,7101747958171132;0,6440564137004701;0,7186531174646917;0,6813547655825809;"[8345; 3267; 530; 959]"
pdfbox;MLP;3;model6;NONE;0,9178688649721395;0,7255379517483966;0,9030674342471611;[0,95529334 0,49578257];0,9178688649721395;0,3552719946272666;0,9900103341370996;0,6726411643821831;"[11496; 116; 960; 529]"
pdfbox;RandomForest;3;model7;NONE;0,9119914510342721;0,7910008162276794;0,9138728262745434;[0,95001951 0,63198213];0,9119914510342721;0,6648757555406313;0,9436789528074406;0,804277354174036;"[10958; 654; 499; 990]"
pdfbox;DT;3;model7;NONE;0,8917639874818716;0,7496316959291942;0,895392529420001;[0,93827268 0,56099071];0,8917639874818716;0,6084620550705171;0,9280916293489494;0,7682768422097332;"[10777; 835; 583; 906]"
